id,title,release_year,vote_average,vote_count,popularity
912649,Venom: The Last Dance,2024-10-22,6.668,380,5729.834
1034541,Terrifier 3,2024-10-09,7.35,431,5508.668
1184918,The Wild Robot,2024-09-12,8.555,2156,4212.751
933260,The Substance,2024-09-07,7.3,1151,2944.087
698687,Transformers One,2024-09-11,8.1,475,2753.849
889737,Joker: Folie à Deux,2024-10-01,5.709,1207,2727.773
945961,Alien: Romulus,2024-08-13,7.3,2064,1946.769
335983,Venom,2018-09-28,6.833,15834,1912.204
533535,Deadpool & Wolverine,2024-07-24,7.707,4951,1636.995
580489,Venom: Let There Be Carnage,2021-09-30,6.799,10074,1501.37
1196470,Survive,2024-06-19,4.8,34,1297.476
179387,Heavenly Touch,2009-05-12,6.0,19,1361.558
1022789,Inside Out 2,2024-06-11,7.613,4553,1152.725
1029235,Azrael,2024-09-27,6.123,110,870.297
519182,Despicable Me 4,2024-06-20,7.109,2091,1118.465
917496,Beetlejuice Beetlejuice,2024-09-04,7.166,1662,1001.383
721173,Good Mother 3,2019-08-26,5.7,15,846.972
420634,Terrifier,2018-01-25,6.398,2295,1159.068
3933,Corpse Bride,2005-09-12,7.6,9181,901.682
354912,Coco,2017-10-27,8.21,19353,1112.966
663712,Terrifier 2,2022-10-06,6.768,1928,952.944
1159311,My Hero Academia: You're Next,2024-08-02,6.7,34,711.283
616446,Brothers,2024-10-10,6.377,126,658.602
1079091,It Ends with Us,2024-08-07,7.203,947,932.68
1125510,The Platform 2,2024-09-27,5.659,759,652.003
1084736,The Count of Monte-Cristo,2024-06-28,8.3,706,904.653
978796,Bagman,2024-09-20,6.551,49,696.37
1063877,Don't Move,2024-10-24,6.583,295,853.664
824003,Diabolik - Who Are You?,2023-11-30,6.3,95,533.546
1051896,Arcadian,2024-04-12,6.017,375,781.211
1149912,Kelas Bintang - Hot Moms,2023-02-09,6.0,3,576.188
1100782,Smile 2,2024-10-16,6.9,247,567.374
573435,Bad Boys: Ride or Die,2024-06-05,7.489,2276,535.007
957452,The Crow,2024-08-21,5.847,698,566.582
9479,The Nightmare Before Christmas,1993-10-09,7.8,9441,591.99
592695,Pleasure,2021-10-08,6.219,536,495.231
976734,Canary Black,2024-10-10,6.5,143,718.089
1144962,Transmorphers: Mech Beasts,2023-06-09,5.2,27,491.483
1354627,SpongeBob Squarepants: Kreepaway Kamp,2024-10-10,7.0,38,490.181
1010581,My Fault,2023-06-08,7.915,3010,517.028
929563,Big City Greens the Movie: Spacecation,2024-06-06,8.4,13,531.67
1087822,Hellboy: The Crooked Man,2024-08-29,5.5,236,442.812
1047373,The Silent Hour,2024-10-03,6.3,46,434.651
