"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!60 years and over!!Estimate","United States!!60 years and over!!Margin of Error"
"Total population","334,914,896","*****","80,983,092","±65,205"
"    SEX AND AGE","","","",""
"        Male","49.5%","±0.1","46.1%","±0.1"
"        Female","50.5%","±0.1","53.9%","±0.1"
"        Median age (years)","39.2","±0.1","69.9","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"        One race","87.2%","±0.1","92.8%","±0.1"
"            White","60.5%","±0.1","73.4%","±0.1"
"            Black or African American","12.1%","±0.1","9.9%","±0.1"
"            American Indian and Alaska Native","1.0%","±0.1","0.6%","±0.1"
"            Asian","6.0%","±0.1","5.0%","±0.1"
"            Native Hawaiian and Other Pacific Islander","0.2%","±0.1","0.1%","±0.1"
"            Some other race","7.4%","±0.1","3.8%","±0.1"
"        Two or more races","12.8%","±0.1","7.2%","±0.1"
"        Hispanic or Latino origin (of any race)","19.4%","±0.1","10.2%","±0.1"
"        White alone, not Hispanic or Latino","57.1%","±0.1","71.8%","±0.1"
"RELATIONSHIP","","","",""
"    Population in households","326,701,646","*****","78,900,821","±65,597"
"        Householder or spouse","59.0%","±0.1","89.6%","±0.1"
"        Parent","1.2%","±0.1","3.8%","±0.1"
"        Other relatives","33.9%","±0.1","3.6%","±0.1"
"        Nonrelatives","6.0%","±0.1","3.0%","±0.1"
"            Unmarried partner","2.9%","±0.1","1.5%","±0.1"
"HOUSEHOLDS BY TYPE","","","",""
"    Households","131,332,360","±130,190","49,134,974","±80,383"
"        Family households","64.0%","±0.1","57.1%","±0.1"
"            Married-couple family","46.8%","±0.1","45.7%","±0.1"
"            Female householder, no spouse present, family","12.1%","±0.1","8.4%","±0.1"
"        Nonfamily households","36.0%","±0.1","42.9%","±0.1"
"            Householder living alone","28.8%","±0.1","39.1%","±0.1"
"MARITAL STATUS","","","",""
"    Population 15 years and over","275,577,890","±36,204","80,983,092","±65,205"
"        Now married, except separated","48.1%","±0.1","58.1%","±0.1"
"        Widowed","5.5%","±0.1","16.4%","±0.1"
"        Divorced","10.4%","±0.1","16.1%","±0.1"
"        Separated","1.6%","±0.1","1.5%","±0.1"
